Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000002107	485	578	520	415	99	102	68	67
ENSMUSG00000002108	38	59	24	27	22	22	23	22
ENSMUSG00000002109	465	610	480	299	292	243	271	243
ENSMUSG00000002111	3	7	0	1	1	2	0	0
ENSMUSG00000002129	6635	7666	6027	4432	2080	2042	3351	3162
ENSMUSG00000002147	303	348	204	138	55	54	35	26
ENSMUSG00000002190	32	41	22	16	16	16	2	2
ENSMUSG00000002204	1	5	6	0	0	0	1	0
ENSMUSG00000002205	860	946	727	543	317	321	297	295
ENSMUSG00000002210	677	788	562	440	350	295	347	330
ENSMUSG00000002221	2682	2987	2717	1896	1173	1074	1730	1541
ENSMUSG00000002222	3325	3667	3168	2290	1025	1039	1430	1287
ENSMUSG00000002227	1854	2114	2283	1543	244	247	265	256
ENSMUSG00000002228	96	86	33	15	40	44	13	13
ENSMUSG00000002233	743	854	731	496	265	268	281	247
ENSMUSG00000002240	0	0	0	0	0	0	0	0
ENSMUSG00000002249	335	424	348	223	461	420	382	323
ENSMUSG00000002250	746	934	725	500	280	303	383	361
ENSMUSG00000002257	367	408	326	251	35	38	58	49
ENSMUSG00000002265	17580	19782	20330	14228	14051	13467	27031	24604
ENSMUSG00000002266	65	74	23	11	226	205	20	11
ENSMUSG00000002274	1489	1633	1874	1307	1955	1948	2559	2313
ENSMUSG00000002279	575	729	509	410	280	276	333	303
ENSMUSG00000002280	457	524	442	264	281	272	261	259
ENSMUSG00000002289	19	25	5	3	3	3	1	1
ENSMUSG00000002297	2700	3123	2656	1861	1120	1069	1449	1380
ENSMUSG00000002307	1342	1573	1427	993	478	491	654	626
ENSMUSG00000002308	1223	1408	1180	772	699	774	815	776
ENSMUSG00000002319	2688	3130	2631	1847	1372	1335	2019	1818
ENSMUSG00000002320	2167	2334	2066	1445	812	864	1063	889
ENSMUSG00000002324	381	410	366	282	82	75	48	35
ENSMUSG00000002325	833	959	1034	696	190	171	156	153
ENSMUSG00000002326	873	1003	832	585	362	292	433	414
