"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.7,0.75]","BADC","RBPJ/MA1116.2/Jaspar",0.712,"1e-9"
"(0.7,0.75]","BADC","CRZ1",NA,"1e-8"
"(0.7,0.75]","BADC","CHES-1-like/MA2206.1/Jaspar",0.801,"1e-8"
"(0.7,0.75]","BADC","Hr78/MA2245.1/Jaspar",0.663,"1e-7"
"(0.7,0.75]","BADC","FOXE1/MA1487.3/Jaspar",0.898,"1e-7"
"(0.7,0.75]","BADC","NAC92/MA1044.2/Jaspar",0.762,"1e-7"
"(0.7,0.75]","BADC","Achi/dmmpmm(Noyes_hd)/fly",0.788,"1e-7"
"(0.7,0.75]","BADC","ZIPIC/MA2322.1/Jaspar",0.708,"1e-4"
"(0.7,0.75]","BADC","bin/dmmpmm(Bergman)/fly",0.747,"1e-3"
"(0.7,0.75]","BADC","Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer",0.665,"1e-3"
"(0.7,0.75]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.977,"1e-76"
"(0.7,0.75]","wt","Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer",0.821,"1e-11"
"(0.7,0.75]","wt","acj6/MA2188.1/Jaspar",0.727,"1e-10"
"(0.7,0.75]","wt","AT5G56840(MYBrelated)/colamp-AT5G56840-DAP-Seq(GSE60143)/Homer",0.846,"1e-10"
"(0.7,0.75]","wt","MAC1/Literature(Harbison)/Yeast",0.786,"1e-10"
"(0.7,0.75]","wt","PTBP1(RRM)/Homo_sapiens-RNCMPT00268-PBM/HughesRNA",0.754,"1e-10"
"(0.7,0.75]","wt","tbx-38/MA2186.1/Jaspar",0.699,"1e-9"
"(0.7,0.75]","wt","HNRNPA1(RRM)/Homo_sapiens-RNCMPT00022-PBM/HughesRNA",0.799,"1e-9"
"(0.7,0.75]","wt","FoxP/MA2237.1/Jaspar",0.741,"1e-8"
"(0.7,0.75]","wt","Zic3/MA0697.3/Jaspar",0.77,"1e-8"
"(0.7,0.75]","wt","ZNF341/MA1655.2/Jaspar",0.721,"1e-7"
"(0.7,0.75]","wt","Plagl1/MA1615.2/Jaspar",0.689,"1e-5"
"(0.7,0.75]","wt","Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer",0.752,"1e-4"
"(0.7,0.75]","wt","PB0091.1_Zbtb3_1/Jaspar",0.649,"1e-4"
"(0.7,0.75]","wt","Crg-1/MA2302.1/Jaspar",0.772,"1e-2"
"(0.75,0.8]","BADC","FOXD2/MA0847.4/Jaspar",0.914,"1e-44"
"(0.75,0.8]","BADC","fkh/dmmpmm(Noyes)/fly",0.722,"1e-14"
"(0.75,0.8]","BADC","Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer",0.873,"1e-11"
"(0.75,0.8]","BADC","EBF1/MA0154.5/Jaspar",0.871,"1e-10"
"(0.75,0.8]","BADC","PB0206.1_Zic2_2/Jaspar",0.747,"1e-8"
"(0.75,0.8]","BADC","PB0178.1_Sox8_2/Jaspar",0.751,"1e-7"
"(0.75,0.8]","BADC","MYB/MA0100.4/Jaspar",0.744,"1e-7"
"(0.75,0.8]","BADC","ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer",0.71,"1e-6"
"(0.75,0.8]","BADC","SD0003.1_at_AC_acceptor/Jaspar",0.671,"1e-5"
"(0.75,0.8]","BADC","M1BP/MA1459.2/Jaspar",0.829,"1e-3"
"(0.75,0.8]","BADC","bin/dmmpmm(Bergman)/fly",0.952,"1e-3"
