Ens_ID	wt_120h_rep1	wt_120h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_wt_96h_rep1	ActA_wt_96h_rep2	wt_96h_rep1	wt_96h_rep2
ENSMUSG00000002329	630	566	608	617	1249	1547	967	1465
ENSMUSG00000002332	424	369	281	287	727	921	694	1091
ENSMUSG00000002341	37	28	22	23	108	119	114	185
ENSMUSG00000002342	721	621	537	543	1035	1113	1076	1582
ENSMUSG00000002343	349	313	249	264	380	427	341	556
ENSMUSG00000002345	215	181	124	176	304	341	244	359
ENSMUSG00000002346	120	126	88	86	125	153	124	207
ENSMUSG00000002365	410	270	302	322	814	948	692	1052
ENSMUSG00000002372	2730	2336	2000	2037	3105	3586	3006	4176
ENSMUSG00000002379	1510	1197	975	981	1771	1947	1408	2107
ENSMUSG00000002384	3	1	0	1	8	10	9	11
ENSMUSG00000002393	832	697	741	662	1222	1266	787	1303
ENSMUSG00000002395	677	544	686	657	1061	1162	772	1219
ENSMUSG00000002396	22	16	13	16	50	57	23	37
ENSMUSG00000002409	387	316	294	288	516	550	425	498
ENSMUSG00000002413	812	647	878	799	1332	1427	1585	1825
ENSMUSG00000002416	641	589	588	592	1629	1954	958	1632
ENSMUSG00000002428	373	299	230	220	753	953	480	687
ENSMUSG00000002455	819	688	586	609	1651	1808	1705	2443
ENSMUSG00000002458	366	296	312	314	776	850	412	636
ENSMUSG00000002459	11	10	24	11	30	25	35	42
ENSMUSG00000002475	11	8	9	6	52	50	7	15
ENSMUSG00000002477	2184	1650	1484	1513	3922	4819	2987	4380
ENSMUSG00000002486	348	328	275	282	409	389	430	582
ENSMUSG00000002489	498	420	432	453	898	960	1153	1415
ENSMUSG00000002496	1583	1308	1343	1348	2161	2481	2610	3599
ENSMUSG00000002500	4	0	1	1	1	1	0	0
ENSMUSG00000002504	108	80	138	107	270	313	214	322
ENSMUSG00000002524	2893	2213	2072	2009	4005	4682	3383	5445
ENSMUSG00000002546	606	496	511	493	670	746	671	823
ENSMUSG00000002550	741	556	583	545	825	941	781	1113
ENSMUSG00000002565	1	0	1	0	8	10	6	6
ENSMUSG00000002578	124	94	125	103	68	76	133	141
