"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Frem24",0.00298370704840742,1.60909086426987,0.254,0.133,1,"18","Frem2"
"Fdx2",0.00299663181364898,0.722017221022642,0.672,0.575,1,"18","Fdx2"
"Creg11",0.00301414016924998,1.2837797777806,0.358,0.219,1,"18","Creg1"
"Retreg3",0.00310342075004053,1.43495196025924,0.209,0.105,1,"18","Retreg3"
"Washc11",0.00310978816531035,1.24914242345461,0.284,0.16,1,"18","Washc1"
"Rpl19-ps7",0.00311349404763061,0.661953338829291,0.552,0.369,1,"18","Rpl19-ps7"
"Tsr3",0.00312564317915246,0.71912033390859,0.567,0.425,1,"18","Tsr3"
"Nktr",0.0031332243296464,0.526274953448344,0.612,0.48,1,"18","Nktr"
"Mpv17",0.00319628927479293,0.989058116375991,0.388,0.251,1,"18","Mpv17"
"Dnajc4",0.00322088623359511,1.39067367298383,0.209,0.105,1,"18","Dnajc4"
"Fbxw7",0.00326482288978603,1.11313573615646,0.418,0.286,1,"18","Fbxw7"
"Vegfb",0.00336388764117852,0.729010271802168,0.731,0.599,1,"18","Vegfb"
"Smg1",0.00337656883767087,0.748124461873751,0.433,0.281,1,"18","Smg1"
"Lzts22",0.00339115883497169,0.98015166409066,0.448,0.297,1,"18","Lzts2"
"Flot2",0.00342784592114697,1.08625347426462,0.328,0.198,1,"18","Flot2"
"Mir692-12",0.00343173751651326,1.19316869317228,0.269,0.15,1,"18","Mir692-1"
"Pi4k2b4",0.00346375915775977,0.768068084670885,0.373,0.226,1,"18","Pi4k2b"
"Zswim8",0.00357000228180844,1.07177065015619,0.313,0.179,1,"18","Zswim8"
"Lrrc582",0.003602185969305,0.605267524359364,0.582,0.431,1,"18","Lrrc58"
"2310057M21Rik",0.00374122851449626,1.175336442641,0.254,0.139,1,"18","2310057M21Rik"
"Cstf11",0.00376750331680739,1.13478665729566,0.358,0.227,1,"18","Cstf1"
"Rrs11",0.00384549907958399,0.663925717102719,0.657,0.492,1,"18","Rrs1"
"Gm157723",0.00389456510054489,1.02569487625131,0.224,0.113,1,"18","Gm15772"
"Vasp3",0.00399484677939213,0.861228707755334,0.388,0.25,1,"18","Vasp"
"Rrp36",0.00404186569464963,0.638032315856518,0.522,0.37,1,"18","Rrp36"
"Ccnk",0.00405276354983654,0.670315249811137,0.493,0.34,1,"18","Ccnk"
"Dhx37",0.00407067861511031,0.88658049583352,0.224,0.109,1,"18","Dhx37"
"Thoc2l",0.00413432416909629,0.669131438133853,0.687,0.58,1,"18","Thoc2l"
"Dsn1",0.00415611154613718,1.29204255889495,0.284,0.156,1,"18","Dsn1"
"Wdr82",0.0042178840468038,0.792049578807348,0.478,0.325,1,"18","Wdr82"
"Rnf14",0.00431306178385961,1.0546840129832,0.328,0.202,1,"18","Rnf14"
"2610005L07Rik1",0.00450964639853157,1.27006860921183,0.269,0.153,1,"18","2610005L07Rik"
"Qrsl1",0.00454477757289123,1.12315932350908,0.224,0.114,1,"18","Qrsl1"
"Mms19",0.0045898068479891,1.36996173130774,0.284,0.172,1,"18","Mms19"
"Cpt1c",0.00463747274476603,1.24398152984727,0.209,0.105,1,"18","Cpt1c"
"Ash1l1",0.00469293280074976,0.642796373077292,0.493,0.363,1,"18","Ash1l"
