p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
0.650684421	0.134488829	0.009	0.012	1	Plcd3	other	Somitic Mesoderm
0.650820529	0.508825573	0.014	0.011	1	Rpl30-ps1	other	Somitic Mesoderm
0.650904559	0.172351981	0.11	0.104	1	Pir	other	Somitic Mesoderm
0.650979155	0.036441035	0.257	0.246	1	Mtres1	other	Somitic Mesoderm
0.651014083	-0.165221209	0.067	0.073	1	Hlcs	other	Somitic Mesoderm
0.651083194	0.089127337	0.152	0.144	1	Gmds	other	Somitic Mesoderm
0.651107144	-0.01125328	0.009	0.012	1	Spock3	other	Somitic Mesoderm
0.651195593	-0.004169797	0.062	0.069	1	Megf8	other	Somitic Mesoderm
0.651233214	0.421103916	0.014	0.011	1	Drc3	other	Somitic Mesoderm
0.651299481	0.456157491	0.032	0.028	1	Lclat1	other	Somitic Mesoderm
0.651620009	0.174108804	0.014	0.017	1	Acy3	other	Somitic Mesoderm
